Index,District,Season,Crop,Year,duration,Area ( in Hectare),Production ( in Tonnes),Yield (Ton./Ha.),Total duration of weeks (SMW),week,tempmax,tempmin,temp,dew,humidity,precip,precipcover,preciptype,windgust,windspeed,winddirection,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,suntime(hrs.)
15,Bharuch,Kharif,Rice,2013,2013-2014,11260,15672,1.39,22-44,37,34.4,24.2,28.01428571,25.2,85.44285714,50.3,35.71571429,rain,30.35115331,15.88571429,262.9571429,1006.742857,64.4,3.871428571,157.6428571,13.62857143,5.571428571,12
16,Bharuch,Kharif,Rice,2013,2013-2014,11260,15672,1.39,22-44,38,34.1,24.1,27.55714286,24.9,86.27142857,58.3,16.07285714,rain,30.35115331,20.7,270.7714286,1003.171429,68.77142857,4.028571429,178.3571429,15.37142857,6.142857143,12
17,Bharuch,Kharif,Rice,2013,2013-2014,11260,15672,1.39,22-44,39,30.7,23.9,26.22857143,24.32857143,89.55714286,108.7,52.97714286,rain,30.35115331,24.52857143,220.3857143,1009.083927,72.2,5.211415024,208.5571429,17.92857143,7.285714286,12
18,Bharuch,Kharif,Rice,2013,2013-2014,11260,15672,1.39,22-44,40,31.4,22.9,27.02857143,24.48571429,86.7,10.7,8.334285714,rain,30.35115331,12.71428571,227.1142857,1009.083927,70.48571429,4.3,206.7285714,17.9,7.571428571,11
19,Bharuch,Kharif,Rice,2013,2013-2014,11260,15672,1.39,22-44,41,32.9,22.4,27.08571429,24.1,84.65714286,3.7,4.168571429,rain,30.35115331,10.18571429,251.3142857,1009.114286,46.04285714,4.114285714,223.2857143,19.3,7.857142857,11
20,Bharuch,Kharif,Rice,2013,2013-2014,11260,15672,1.39,22-44,42,35.9,19.1,27.32857143,21.7,73.27142857,5.1,7.142857143,no rain,30.35115331,12.1,75.67142857,1010.6,33.65714286,4.214285714,248.4714286,21.47142857,8.857142857,11
21,Bharuch,Kharif,Rice,2013,2013-2014,11260,15672,1.39,22-44,43,35.2,17.2,26.0,19.51428571,70.2,0.0,0.0,no rain,30.35115331,15.07142857,45.51428571,1009.542857,50.21428571,4.528571429,241.2428571,20.85714286,8.285714286,11
22,Bharuch,Kharif,Rice,2013,2013-2014,11260,15672,1.39,22-44,44,35.4,17.9,25.32857143,18.28571429,67.4,0.0,0.0,no rain,30.35115331,12.48571429,45.57142857,1013.714286,15.12857143,3.742857143,229.4571429,19.8,8.0,11
23,Narmada,Kharif,Rice,2013,2013-2014,9933,8086,0.81,22-44,22,39.8,25.9,30.97142857,21.34285714,60.64285714,13.8,9.524285714,no rain,30.35115331,25.74285714,255.7142857,1009.083927,53.78571429,6.326635055,260.8571429,22.52857143,8.428571429,13
24,Narmada,Kharif,Rice,2013,2013-2014,9933,8086,0.81,22-44,23,36.3,24.7,28.14285714,23.72857143,78.9,174.2,69.04714286,rain,30.35115331,20.51428571,254.4428571,1009.083927,74.1,6.326635055,172.8714286,14.94285714,6.0,13
25,Narmada,Kharif,Rice,2013,2013-2014,9933,8086,0.81,22-44,24,31.0,24.2,26.7,24.45714286,88.08571429,166.7,94.64142857,rain,30.35115331,24.02857143,238.6285714,1009.083927,86.02857143,6.326635055,171.9714286,14.84285714,5.714285714,13
26,Narmada,Kharif,Rice,2013,2013-2014,9933,8086,0.81,22-44,25,29.8,23.0,26.15714286,23.92857143,88.2,112.4,62.5,rain,30.35115331,23.22857143,242.7142857,1009.083927,66.67142857,6.326635055,228.3142857,19.67142857,7.571428571,13
27,Narmada,Kharif,Rice,2013,2013-2014,9933,8086,0.81,22-44,26,29.6,24.1,25.88571429,24.12857143,90.41428571,75.9,94.04714286,rain,30.35115331,29.42857143,239.3428571,1009.083927,84.51428571,6.326635055,186.8142857,16.12857143,6.142857143,13
28,Narmada,Kharif,Rice,2013,2013-2014,9933,8086,0.81,22-44,27,29.6,22.6,25.51428571,23.94285714,91.31428571,92.2,86.90428571,rain,30.35115331,28.91428571,245.7571429,1009.083927,86.41428571,6.326635055,167.3142857,14.37142857,5.714285714,13
29,Narmada,Kharif,Rice,2013,2013-2014,9933,8086,0.81,22-44,28,28.2,22.6,24.88571429,23.72857143,93.38571429,195.3,76.78571429,rain,30.35115331,28.6,253.0714286,1009.083927,91.98571429,6.326635055,123.9571429,10.67142857,4.285714286,13
30,Narmada,Kharif,Rice,2013,2013-2014,9933,8086,0.81,22-44,29,28.2,23.7,25.01428571,23.95714286,93.97142857,158.0,100.0,rain,30.35115331,28.7,251.2,1009.083927,89.44285714,6.326635055,139.7285714,12.0,4.571428571,13
31,Narmada,Kharif,Rice,2013,2013-2014,9933,8086,0.81,22-44,30,27.8,23.2,24.81428571,23.72857143,93.71428571,103.3,100.0,rain,30.35115331,35.78571429,241.3,1009.083927,91.47142857,6.326635055,150.9428571,13.01428571,5.142857143,13
32,Narmada,Kharif,Rice,2013,2013-2014,9933,8086,0.81,22-44,31,28.0,22.4,24.37142857,23.1,92.87142857,172.3,88.09571429,rain,30.35115331,28.94285714,250.2285714,1009.083927,81.25714286,6.326635055,190.9428571,16.45714286,6.857142857,13
33,Narmada,Kharif,Rice,2013,2013-2014,9933,8086,0.81,22-44,32,28.4,23.0,24.72857143,23.22857143,91.62857143,33.2,62.5,rain,30.35115331,26.32857143,249.0142857,1009.083927,88.3,6.326635055,186.8,16.08571429,6.428571429,12
34,Narmada,Kharif,Rice,2013,2013-2014,9933,8086,0.81,22-44,33,29.3,22.8,25.02857143,23.37142857,90.9,44.5,82.73857143,rain,30.35115331,23.9,248.6428571,1009.083927,72.95714286,6.326635055,212.4285714,18.31428571,7.0,12
35,Narmada,Kharif,Rice,2013,2013-2014,9933,8086,0.81,22-44,34,27.9,22.5,24.47142857,22.85714286,91.01428571,32.4,56.54714286,rain,30.35115331,24.62857143,261.6857143,1009.083927,90.55714286,6.326635055,167.2714286,14.42857143,5.714285714,12
36,Narmada,Kharif,Rice,2013,2013-2014,9933,8086,0.81,22-44,35,29.6,21.7,25.11428571,22.87142857,88.24285714,7.2,17.26142857,no rain,30.35115331,19.48571429,250.1571429,1009.083927,61.81428571,6.326635055,258.6714286,22.32857143,8.714285714,12
37,Narmada,Kharif,Rice,2013,2013-2014,9933,8086,0.81,22-44,36,29.4,21.7,24.88571429,22.51428571,87.51428571,16.0,32.14285714,rain,30.35115331,18.37142857,265.9857143,1009.083927,59.02857143,6.326635055,253.2714286,21.84285714,8.285714286,12
38,Narmada,Kharif,Rice,2013,2013-2014,9933,8086,0.81,22-44,37,31.2,22.4,26.12857143,24.0,88.6,73.5,97.61857143,rain,30.35115331,12.4,276.5142857,1009.083927,65.38571429,6.326635055,161.6285714,13.97142857,5.571428571,12
39,Narmada,Kharif,Rice,2013,2013-2014,9933,8086,0.81,22-44,38,31.2,22.8,25.41428571,23.47142857,89.65714286,63.9,61.90571429,rain,30.35115331,21.9,275.9,1009.083927,70.14285714,6.326635055,176.8857143,15.28571429,6.142857143,12
40,Narmada,Kharif,Rice,2013,2013-2014,9933,8086,0.81,22-44,39,29.1,21.8,24.47142857,22.78571429,90.85714286,45.1,48.80857143,rain,30.35115331,24.34285714,232.2,1009.083927,70.78571429,6.326635055,215.3,18.6,7.428571429,12
41,Narmada,Kharif,Rice,2013,2013-2014,9933,8086,0.81,22-44,40,30.1,20.8,25.12857143,22.98571429,88.6,10.2,42.26142857,rain,30.35115331,13.17142857,258.1,1009.083927,75.85714286,6.326635055,205.1857143,17.75714286,7.285714286,11
42,Narmada,Kharif,Rice,2013,2013-2014,9933,8086,0.81,22-44,41,29.6,20.8,24.87142857,22.54285714,87.75714286,26.0,57.14285714,rain,30.35115331,11.77142857,285.9857143,1009.083927,49.32857143,6.326635055,219.1142857,18.84285714,7.571428571,11
43,Narmada,Kharif,Rice,2013,2013-2014,9933,8086,0.81,22-44,42,31.5,19.1,25.04285714,19.5,73.12857143,11.7,14.28571429,no rain,30.35115331,12.34285714,86.45714286,1009.083927,34.95714286,6.326635055,250.6428571,21.62857143,8.714285714,11
44,Narmada,Kharif,Rice,2013,2013-2014,9933,8086,0.81,22-44,43,30.1,16.6,23.52857143,18.88571429,76.68571429,0.0,0.0,no rain,30.35115331,16.08571429,54.94285714,1009.083927,61.84285714,6.326635055,243.4428571,21.0,8.428571429,11
45,Narmada,Kharif,Rice,2013,2013-2014,9933,8086,0.81,22-44,44,30.7,17.2,23.08571429,16.51428571,68.6,0.0,0.0,no rain,30.35115331,13.47142857,78.74285714,1009.083927,19.07142857,6.326635055,233.9285714,20.24285714,8.142857143,11
46,Navsari,Kharif,Rice,2013,2013-2014,67443,162186,2.4,22-44,22,38.4,26.8,31.04285714,24.02857143,68.32857143,15.8,7.738571429,no rain,30.35115331,21.71428571,245.1857143,1004.9,52.94285714,5.2,238.8285714,20.61428571,7.714285714,13
47,Navsari,Kharif,Rice,2013,2013-2014,67443,162186,2.4,22-44,23,35.3,25.1,28.85714286,25.35714286,82.7,231.3,27.38142857,rain,30.35115331,20.47142857,234.8857143,1003.414286,72.62857143,4.057142857,172.8285714,14.88571429,6.0,13
48,Navsari,Kharif,Rice,2013,2013-2014,67443,162186,2.4,22-44,24,31.1,24.1,27.55714286,25.68571429,89.88571429,297.0,13.09571429,rain,30.35115331,25.71428571,224.1285714,998.8142857,84.45714286,3.757142857,176.2857143,15.14285714,6.142857143,13
49,Navsari,Kharif,Rice,2013,2013-2014,67443,162186,2.4,22-44,25,31.9,24.4,27.6,25.28571429,87.64285714,182.4,27.38285714,rain,30.35115331,21.18571429,231.3,1002.971429,66.07142857,4.371428571,228.3142857,19.7,7.571428571,13
50,Navsari,Kharif,Rice,2013,2013-2014,67443,162186,2.4,22-44,26,31.1,25.3,27.31428571,25.42857143,89.64285714,108.3,25.59571429,rain,30.35115331,28.6,228.4142857,1004.014286,82.0,4.2,183.2142857,15.81428571,6.0,13
51,Navsari,Kharif,Rice,2013,2013-2014,67443,162186,2.4,22-44,27,31.7,24.1,27.31428571,25.41428571,89.78571429,84.0,32.74,rain,30.35115331,26.62857143,238.7142857,1002.271429,85.54285714,4.3,169.7142857,14.64285714,5.857142857,13
52,Navsari,Kharif,Rice,2013,2013-2014,67443,162186,2.4,22-44,28,31.1,24.3,26.34285714,24.81428571,91.54285714,278.7,19.04857143,rain,30.35115331,26.78571429,244.9142857,1002.571429,90.27142857,3.9,126.3571429,10.91428571,4.285714286,13
53,Navsari,Kharif,Rice,2013,2013-2014,67443,162186,2.4,22-44,29,29.1,24.9,26.3,25.02857143,92.77142857,207.3,10.12,rain,30.35115331,28.02857143,243.8714286,1002.014286,89.84285714,3.8,140.0285714,12.04285714,4.857142857,13
54,Navsari,Kharif,Rice,2013,2013-2014,67443,162186,2.4,22-44,30,29.4,24.4,26.18571429,24.81428571,92.38571429,90.0,11.31,rain,30.35115331,33.94285714,236.4142857,1001.385714,93.48571429,3.785714286,138.7571429,11.9,4.857142857,13
55,Navsari,Kharif,Rice,2013,2013-2014,67443,162186,2.4,22-44,31,29.2,23.7,25.71428571,24.25714286,91.85714286,226.6,21.42714286,rain,30.35115331,28.08571429,241.0714286,1002.728571,82.72857143,3.728571429,195.9571429,16.98571429,6.285714286,13
56,Navsari,Kharif,Rice,2013,2013-2014,67443,162186,2.4,22-44,32,30.4,24.0,26.22857143,24.38571429,89.84285714,34.0,23.21428571,rain,30.35115331,25.84285714,240.4857143,1006.114286,84.47142857,4.071428571,179.1,15.51428571,6.142857143,12
57,Navsari,Kharif,Rice,2013,2013-2014,67443,162186,2.4,22-44,33,29.4,23.9,26.4,24.52857143,89.92857143,35.5,5.952857143,rain,30.35115331,23.85714286,238.4857143,1004.642857,75.22857143,4.157142857,225.5428571,19.47142857,7.571428571,12
58,Navsari,Kharif,Rice,2013,2013-2014,67443,162186,2.4,22-44,34,30.7,24.0,26.11428571,24.1,88.82857143,26.1,8.928571429,rain,30.35115331,22.1,254.7714286,1005.542857,88.95714286,3.971428571,170.6,14.7,5.857142857,12
59,Navsari,Kharif,Rice,2013,2013-2014,67443,162186,2.4,22-44,35,31.7,22.9,26.68571429,24.01428571,85.95714286,8.2,10.71428571,rain,30.35115331,18.55714286,238.4,1008.557143,57.74285714,4.757142857,256.4,22.18571429,8.571428571,12
60,Navsari,Kharif,Rice,2013,2013-2014,67443,162186,2.4,22-44,36,32.9,23.1,26.55714286,23.75714286,85.27142857,13.5,9.524285714,rain,30.35115331,17.42857143,256.4428571,1009.185714,54.14285714,4.757142857,265.7857143,22.97142857,8.714285714,12
61,Navsari,Kharif,Rice,2013,2013-2014,67443,162186,2.4,22-44,37,34.4,23.8,27.52857143,25.02857143,86.87142857,58.2,40.47857143,rain,30.35115331,16.41428571,218.8857143,1006.742857,67.31428571,3.871428571,155.1714286,13.4,5.285714286,12
62,Navsari,Kharif,Rice,2013,2013-2014,67443,162186,2.4,22-44,38,34.1,24.1,26.97142857,24.7,87.81428571,64.5,23.81142857,rain,30.35115331,19.95714286,271.6571429,1003.171429,69.95714286,4.028571429,172.2,14.91428571,6.142857143,12
63,Navsari,Kharif,Rice,2013,2013-2014,67443,162186,2.4,22-44,39,30.7,23.5,25.82857143,24.1,90.35714286,64.4,52.38142857,rain,30.35115331,24.54285714,221.4428571,1009.083927,71.82857143,5.211415024,216.8428571,18.74285714,7.428571429,12
64,Navsari,Kharif,Rice,2013,2013-2014,67443,162186,2.4,22-44,40,31.4,22.3,26.65714286,24.24285714,87.21428571,11.9,9.524285714,rain,30.35115331,13.48571429,226.3857143,1009.083927,66.75714286,4.3,222.6285714,19.21428571,8.0,11
65,Navsari,Kharif,Rice,2013,2013-2014,67443,162186,2.4,22-44,41,32.9,22.1,26.61428571,23.95714286,86.24285714,5.4,14.28714286,rain,30.35115331,11.77142857,250.9714286,1009.114286,50.31428571,4.114285714,229.5285714,19.9,7.714285714,11
66,Navsari,Kharif,Rice,2013,2013-2014,67443,162186,2.4,22-44,42,35.9,19.4,27.02857143,21.57142857,74.08571429,9.6,10.11857143,no rain,30.35115331,13.41428571,85.24285714,1010.6,36.75714286,4.214285714,249.9857143,21.6,9.0,11
67,Navsari,Kharif,Rice,2013,2013-2014,67443,162186,2.4,22-44,43,35.2,17.7,26.0,19.71428571,70.71428571,0.0,0.0,no rain,30.35115331,15.32857143,45.91428571,1009.542857,59.77142857,4.528571429,240.1285714,20.75714286,8.285714286,11
68,Navsari,Kharif,Rice,2013,2013-2014,67443,162186,2.4,22-44,44,35.4,18.0,25.28571429,18.31428571,67.62857143,0.0,0.0,no rain,30.35115331,13.84285714,53.68571429,1013.714286,19.24285714,3.742857143,231.5285714,20.0,8.285714286,11
69,Surat,Kharif,Rice,2013,2013-2014,45902,93241,2.03,22-44,22,38.4,26.8,31.04285714,24.02857143,68.32857143,15.8,7.738571429,no rain,30.35115331,21.71428571,245.1857143,1004.9,52.94285714,5.2,238.8285714,20.61428571,7.714285714,13
70,Surat,Kharif,Rice,2013,2013-2014,45902,93241,2.03,22-44,23,35.3,25.1,28.85714286,25.35714286,82.7,231.3,27.38142857,rain,30.35115331,20.47142857,234.8857143,1003.414286,72.62857143,4.057142857,172.8285714,14.88571429,6.0,13
71,Surat,Kharif,Rice,2013,2013-2014,45902,93241,2.03,22-44,24,31.1,24.1,27.55714286,25.68571429,89.88571429,297.0,13.09571429,rain,30.35115331,25.71428571,224.1285714,998.8142857,84.45714286,3.757142857,176.2857143,15.14285714,6.142857143,13
72,Surat,Kharif,Rice,2013,2013-2014,45902,93241,2.03,22-44,25,31.9,24.4,27.6,25.28571429,87.64285714,182.4,27.38285714,rain,30.35115331,21.18571429,231.3,1002.971429,66.07142857,4.371428571,228.3142857,19.7,7.571428571,13
73,Surat,Kharif,Rice,2013,2013-2014,45902,93241,2.03,22-44,26,31.1,25.3,27.31428571,25.42857143,89.64285714,108.3,25.59571429,rain,30.35115331,28.6,228.4142857,1004.014286,82.0,4.2,183.2142857,15.81428571,6.0,13
74,Surat,Kharif,Rice,2013,2013-2014,45902,93241,2.03,22-44,27,31.7,24.1,27.31428571,25.41428571,89.78571429,84.0,32.74,rain,30.35115331,26.62857143,238.7142857,1002.271429,85.54285714,4.3,169.7142857,14.64285714,5.857142857,13
75,Surat,Kharif,Rice,2013,2013-2014,45902,93241,2.03,22-44,28,31.1,24.3,26.34285714,24.81428571,91.54285714,278.7,19.04857143,rain,30.35115331,26.78571429,244.9142857,1002.571429,90.27142857,3.9,126.3571429,10.91428571,4.285714286,13
76,Surat,Kharif,Rice,2013,2013-2014,45902,93241,2.03,22-44,29,29.1,24.9,26.3,25.02857143,92.77142857,207.3,10.12,rain,30.35115331,28.02857143,243.8714286,1002.014286,89.84285714,3.8,140.0285714,12.04285714,4.857142857,13
77,Surat,Kharif,Rice,2013,2013-2014,45902,93241,2.03,22-44,30,29.4,24.4,26.18571429,24.81428571,92.38571429,90.0,11.31,rain,30.35115331,33.94285714,236.4142857,1001.385714,93.48571429,3.785714286,138.7571429,11.9,4.857142857,13
78,Surat,Kharif,Rice,2013,2013-2014,45902,93241,2.03,22-44,31,29.2,23.7,25.71428571,24.25714286,91.85714286,226.6,21.42714286,rain,30.35115331,28.08571429,241.0714286,1002.728571,82.72857143,3.728571429,195.9571429,16.98571429,6.285714286,13
79,Surat,Kharif,Rice,2013,2013-2014,45902,93241,2.03,22-44,32,30.4,24.0,26.22857143,24.38571429,89.84285714,34.0,23.21428571,rain,30.35115331,25.84285714,240.4857143,1006.114286,84.47142857,4.071428571,179.1,15.51428571,6.142857143,12
80,Surat,Kharif,Rice,2013,2013-2014,45902,93241,2.03,22-44,33,29.4,23.9,26.4,24.52857143,89.92857143,35.5,5.952857143,rain,30.35115331,23.85714286,238.4857143,1004.642857,75.22857143,4.157142857,225.5428571,19.47142857,7.571428571,12
81,Surat,Kharif,Rice,2013,2013-2014,45902,93241,2.03,22-44,34,30.7,24.0,26.11428571,24.1,88.82857143,26.1,8.928571429,rain,30.35115331,22.1,254.7714286,1005.542857,88.95714286,3.971428571,170.6,14.7,5.857142857,12
82,Surat,Kharif,Rice,2013,2013-2014,45902,93241,2.03,22-44,35,31.7,22.9,26.68571429,24.01428571,85.95714286,8.2,10.71428571,rain,30.35115331,18.55714286,238.4,1008.557143,57.74285714,4.757142857,256.4,22.18571429,8.571428571,12
83,Surat,Kharif,Rice,2013,2013-2014,45902,93241,2.03,22-44,36,32.9,23.1,26.55714286,23.75714286,85.27142857,13.5,9.524285714,rain,30.35115331,17.42857143,256.4428571,1009.185714,54.14285714,4.757142857,265.7857143,22.97142857,8.714285714,12
84,Surat,Kharif,Rice,2013,2013-2014,45902,93241,2.03,22-44,37,34.4,23.8,27.52857143,25.02857143,86.87142857,58.2,40.47857143,rain,30.35115331,16.41428571,218.8857143,1006.742857,67.31428571,3.871428571,155.1714286,13.4,5.285714286,12
85,Surat,Kharif,Rice,2013,2013-2014,45902,93241,2.03,22-44,38,34.1,24.1,26.97142857,24.7,87.81428571,64.5,23.81142857,rain,30.35115331,19.95714286,271.6571429,1003.171429,69.95714286,4.028571429,172.2,14.91428571,6.142857143,12
86,Surat,Kharif,Rice,2013,2013-2014,45902,93241,2.03,22-44,39,30.7,23.5,25.82857143,24.1,90.35714286,64.4,52.38142857,rain,30.35115331,24.54285714,221.4428571,1009.083927,71.82857143,5.211415024,216.8428571,18.74285714,7.428571429,12
87,Surat,Kharif,Rice,2013,2013-2014,45902,93241,2.03,22-44,40,31.4,22.3,26.65714286,24.24285714,87.21428571,11.9,9.524285714,rain,30.35115331,13.48571429,226.3857143,1009.083927,66.75714286,4.3,222.6285714,19.21428571,8.0,11
88,Surat,Kharif,Rice,2013,2013-2014,45902,93241,2.03,22-44,41,32.9,22.1,26.61428571,23.95714286,86.24285714,5.4,14.28714286,rain,30.35115331,11.77142857,250.9714286,1009.114286,50.31428571,4.114285714,229.5285714,19.9,7.714285714,11
89,Surat,Kharif,Rice,2013,2013-2014,45902,93241,2.03,22-44,42,35.9,19.4,27.02857143,21.57142857,74.08571429,9.6,10.11857143,no rain,30.35115331,13.41428571,85.24285714,1010.6,36.75714286,4.214285714,249.9857143,21.6,9.0,11
90,Surat,Kharif,Rice,2013,2013-2014,45902,93241,2.03,22-44,43,35.2,17.7,26.0,19.71428571,70.71428571,0.0,0.0,no rain,30.35115331,15.32857143,45.91428571,1009.542857,59.77142857,4.528571429,240.1285714,20.75714286,8.285714286,11
91,Surat,Kharif,Rice,2013,2013-2014,45902,93241,2.03,22-44,44,35.4,18.0,25.28571429,18.31428571,67.62857143,0.0,0.0,no rain,30.35115331,13.84285714,53.68571429,1013.714286,19.24285714,3.742857143,231.5285714,20.0,8.285714286,11
92,Tapi,Kharif,Rice,2013,2013-2014,55694,145132,2.61,22-44,22,38.4,26.8,31.04285714,24.02857143,68.32857143,15.8,7.738571429,no rain,30.35115331,21.71428571,245.1857143,1004.9,52.94285714,5.2,238.8285714,20.61428571,7.714285714,13
93,Tapi,Kharif,Rice,2013,2013-2014,55694,145132,2.61,22-44,23,35.3,25.1,28.85714286,25.35714286,82.7,231.3,27.38142857,rain,30.35115331,20.47142857,234.8857143,1003.414286,72.62857143,4.057142857,172.8285714,14.88571429,6.0,13
94,Tapi,Kharif,Rice,2013,2013-2014,55694,145132,2.61,22-44,24,31.1,24.1,27.55714286,25.68571429,89.88571429,297.0,13.09571429,rain,30.35115331,25.71428571,224.1285714,998.8142857,84.45714286,3.757142857,176.2857143,15.14285714,6.142857143,13
95,Tapi,Kharif,Rice,2013,2013-2014,55694,145132,2.61,22-44,25,31.9,24.4,27.6,25.28571429,87.64285714,182.4,27.38285714,rain,30.35115331,21.18571429,231.3,1002.971429,66.07142857,4.371428571,228.3142857,19.7,7.571428571,13
96,Tapi,Kharif,Rice,2013,2013-2014,55694,145132,2.61,22-44,26,31.1,25.3,27.31428571,25.42857143,89.64285714,108.3,25.59571429,rain,30.35115331,28.6,228.4142857,1004.014286,82.0,4.2,183.2142857,15.81428571,6.0,13
97,Tapi,Kharif,Rice,2013,2013-2014,55694,145132,2.61,22-44,27,31.7,24.1,27.31428571,25.41428571,89.78571429,84.0,32.74,rain,30.35115331,26.62857143,238.7142857,1002.271429,85.54285714,4.3,169.7142857,14.64285714,5.857142857,13
98,Tapi,Kharif,Rice,2013,2013-2014,55694,145132,2.61,22-44,28,31.1,24.3,26.34285714,24.81428571,91.54285714,278.7,19.04857143,rain,30.35115331,26.78571429,244.9142857,1002.571429,90.27142857,3.9,126.3571429,10.91428571,4.285714286,13
99,Tapi,Kharif,Rice,2013,2013-2014,55694,145132,2.61,22-44,29,29.1,24.9,26.3,25.02857143,92.77142857,207.3,10.12,rain,30.35115331,28.02857143,243.8714286,1002.014286,89.84285714,3.8,140.0285714,12.04285714,4.857142857,13
100,Tapi,Kharif,Rice,2013,2013-2014,55694,145132,2.61,22-44,30,29.4,24.4,26.18571429,24.81428571,92.38571429,90.0,11.31,rain,30.35115331,33.94285714,236.4142857,1001.385714,93.48571429,3.785714286,138.7571429,11.9,4.857142857,13
101,Tapi,Kharif,Rice,2013,2013-2014,55694,145132,2.61,22-44,31,29.2,23.7,25.71428571,24.25714286,91.85714286,226.6,21.42714286,rain,30.35115331,28.08571429,241.0714286,1002.728571,82.72857143,3.728571429,195.9571429,16.98571429,6.285714286,13
102,Tapi,Kharif,Rice,2013,2013-2014,55694,145132,2.61,22-44,32,30.4,24.0,26.22857143,24.38571429,89.84285714,34.0,23.21428571,rain,30.35115331,25.84285714,240.4857143,1006.114286,84.47142857,4.071428571,179.1,15.51428571,6.142857143,12
