ID,Yield (Ton./Ha.),District,Year,Is_Synthetic,Germination_Rainfall_Total,Germination_Rainy_Weeks,Germination_Max_Weekly_Rain,Germination_Mean_Temp,Germination_Heat_Stress_Weeks,Germination_Night_Stress_Weeks,Germination_Mean_Humidity,Germination_Mean_Solar,Vegetative_Rainfall_Total,Vegetative_Rainy_Weeks,Vegetative_Max_Weekly_Rain,Vegetative_Mean_Temp,Vegetative_Heat_Stress_Weeks,Vegetative_Night_Stress_Weeks,Vegetative_Mean_Humidity,Vegetative_Mean_Solar,Reproductive_Rainfall_Total,Reproductive_Rainy_Weeks,Reproductive_Max_Weekly_Rain,Reproductive_Mean_Temp,Reproductive_Heat_Stress_Weeks,Reproductive_Night_Stress_Weeks,Reproductive_Mean_Humidity,Reproductive_Mean_Solar,Ripening_Rainfall_Total,Ripening_Rainy_Weeks,Ripening_Max_Weekly_Rain,Ripening_Mean_Temp,Ripening_Heat_Stress_Weeks,Ripening_Night_Stress_Weeks,Ripening_Mean_Humidity,Ripening_Mean_Solar,Germination_Rain_x_Temp,Germination_Heat_x_Humidity,Vegetative_Rain_x_Temp,Vegetative_Heat_x_Humidity,Reproductive_Rain_x_Temp,Reproductive_Heat_x_Humidity,Ripening_Rain_x_Temp,Ripening_Heat_x_Humidity
10,2.39,Bharuch,2020,1,143.46585922221135,1.0,143.03688379135355,31.272369617180892,2.0,2.0,69.84570942133661,238.8357143,0.0,0.0,0.0,27.213383000000004,0.0,0.0,59.183154999999985,250.561214296,0.0,0.0,0.0,27.213383000000004,0.0,0.0,59.183154999999985,250.561214296,0.0,0.0,0.0,27.213383000000004,0.0,0.0,59.183154999999985,250.561214296,4486.517377043433,139.69141884267322,0.0,0.0,0.0,0.0,0.0,0.0
11,0.85,Narmada,2018,1,0.9540655385492917,0.0,0.8586589846943625,32.07154535744172,2.0,2.0,62.378691230567725,281.91428575,709.5385410191083,7.0,288.4140123034509,27.56241278106506,2.0,1.0,83.26688837412313,145.80816326285714,254.8309053465158,6.0,101.60797985549956,26.22924582156053,0.0,0.0,85.07210469785146,145.35238096666666,38.258028095826596,2.0,31.77038243369141,27.56996661103725,6.0,0.0,66.14732884161172,225.68214285,30.59835619355567,124.75738246113545,19556.594151643323,166.53377674824625,6684.022459264586,0.0,1054.7725572060642,396.8839730496703
12,2.39,Bharuch,2020,1,82.54055412578542,1.0,82.29375067051521,31.294342592001776,2.0,2.0,66.9244603716351,238.8357143,0.0,0.0,0.0,27.232504000000002,0.0,0.0,56.70785999999998,250.561214296,0.0,0.0,0.0,27.232504000000002,0.0,0.0,56.70785999999998,250.561214296,0.0,0.0,0.0,27.232504000000002,0.0,0.0,56.70785999999998,250.561214296,2583.0523785459945,133.8489207432702,0.0,0.0,0.0,0.0,0.0,0.0
13,0.79,Narmada,2017,1,25.68909701867515,2.0,13.358330449711078,30.960837375729753,2.0,1.0,70.18312841710848,226.8714286,688.8414596934929,7.0,184.0273495519638,27.75967739423814,3.0,0.0,85.4658242322751,155.71224489857144,326.85872897579765,6.0,156.65678436479354,27.228526483143423,0.0,0.0,85.10979433201834,164.5595238,74.07801431203416,3.0,24.941777832677328,28.248913198751644,7.0,0.0,69.73532844346839,213.5464285625,795.3559551245453,140.36625683421695,19122.016696867457,256.3974726968253,8899.881558164105,0.0,2092.623396236535,488.1472991042787
14,2.35,Tapi,2021,1,60.13402471235618,1.0,56.39177853926964,30.174384866354046,2.0,1.0,74.02110281613315,212.6285714,0.0,0.0,0.0,27.286449999999995,0.0,0.0,60.270312999999994,242.9629807576923,0.0,0.0,0.0,27.286449999999995,0.0,0.0,60.270312999999994,242.9629807576923,0.0,0.0,0.0,27.286449999999995,0.0,0.0,60.270312999999994,242.9629807576923,1814.5072052334806,148.0422056322663,0.0,0.0,0.0,0.0,0.0,0.0
15,2.92,Valsad,2022,1,15.23794945230733,1.0,11.798231742982876,30.503008150458346,1.0,2.0,67.82929772064332,272.33571429999995,0.0,0.0,0.0,27.28296299999999,0.0,0.0,54.862760000000016,250.4087912076923,0.0,0.0,0.0,27.28296299999999,0.0,0.0,54.862760000000016,250.4087912076923,0.0,0.0,0.0,27.28296299999999,0.0,0.0,54.862760000000016,250.4087912076923,464.80329634000276,67.82929772064332,0.0,0.0,0.0,0.0,0.0,0.0
16,0.85,Narmada,2018,1,0.7925830782393762,0.0,0.7133247704154386,32.241870028583115,2.0,2.0,58.80851330252544,281.91428575,589.4440352866242,7.0,239.59786455176345,27.708790476323482,2.0,1.0,78.50119673895817,145.80816326285714,211.6989401977374,6.0,84.41009783249356,26.36854337080717,0.0,0.0,80.20309342985718,145.35238096666666,31.782581437398985,1.0,26.393016505371225,27.716384422965803,6.0,0.0,62.36145695538736,225.68214285,25.55436059544829,117.61702660505088,16332.781271275695,157.00239347791634,5582.192686157951,0.0,880.8982450731673,374.1687417323242
17,2.17,Bharuch,2017,1,135.7696329420368,1.0,131.1924446795616,31.99334472706437,2.0,2.0,70.90759674323618,238.98571425,0.0,0.0,0.0,27.316326000000004,0.0,0.0,56.663264999999996,257.29340658461535,0.0,0.0,0.0,27.316326000000004,0.0,0.0,56.663264999999996,257.29340658461535,0.0,0.0,0.0,27.316326000000004,0.0,0.0,56.663264999999996,257.29340658461535,4343.7246701815775,141.81519348647237,0.0,0.0,0.0,0.0,0.0,0.0
18,2.76,Navsari,2021,1,87.74383503924649,2.0,81.4899547880691,30.277853031055063,0.0,1.0,78.18347255932753,233.93571425,0.0,0.0,0.0,27.346423999999995,0.0,0.0,63.754329999999996,247.99189561538464,0.0,0.0,0.0,27.346423999999995,0.0,0.0,63.754329999999996,247.99189561538464,0.0,0.0,0.0,27.346423999999995,0.0,0.0,63.754329999999996,247.99189561538464,2656.694941699445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,3.12,Valsad,2019,1,0.0,0.0,0.0,28.77626330919316,0.0,2.0,68.44774100659342,287.8857143,0.0,0.0,0.0,24.5299,0.0,0.0,58.54607,261.45851648461536,0.0,0.0,0.0,24.5299,0.0,0.0,58.54607,261.45851648461536,0.0,0.0,0.0,24.5299,0.0,0.0,58.54607,261.45851648461536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2.15,Surat,2015,1,15.46218241758242,1.0,15.46218241758242,31.297162433362168,2.0,2.0,67.19753316179035,239.62142855,773.7717858398745,6.0,391.0827710047096,27.947732601489967,0.0,2.0,84.85085570749733,214.39591835714288,142.9147432025118,6.0,67.03960519623234,27.288011924725225,1.0,0.0,83.3627428417177,253.74047620000002,474.9098885400315,4.0,386.11278379905815,27.874818796811816,6.0,0.0,73.77020083420402,222.60535715,483.92243469735354,134.3950663235807,21625.166965230175,0.0,3899.8592167291854,83.3627428417177,13238.027087867475,442.6212050052241
21,2.57,Valsad,2021,1,94.1645503542564,2.0,88.27788031962156,29.540253941942957,1.0,2.0,80.31909754883849,221.55,729.5962167832416,7.0,180.04804908454886,28.46443753713441,0.0,6.0,84.6369586486989,173.37755101285714,741.8389867373759,6.0,271.0952765483502,27.43999727249795,0.0,3.0,86.22904554728166,160.5642857,604.1032461251261,5.0,233.905248174962,27.718712840148175,3.0,2.0,78.02937638471757,184.46785715,2781.644729793609,80.31909754883849,20767.545939956155,0.0,20356.059772706238,0.0,16744.964405143728,234.08812915415268
22,2.39,Bharuch,2020,1,89.4982034794424,1.0,89.23059604582205,31.32589836254628,2.0,2.0,67.11723983116164,238.8357143,0.0,0.0,0.0,27.259964,0.0,0.0,56.87120999999999,250.561214296,0.0,0.0,0.0,27.259964,0.0,0.0,56.87120999999999,250.561214296,0.0,0.0,0.0,27.259964,0.0,0.0,56.87120999999999,250.561214296,2803.6116258274983,134.23447966232328,0.0,0.0,0.0,0.0,0.0,0.0
23,2.7,Valsad,2016,1,6.220704611779432,0.0,4.665528458834574,31.046249472974733,2.0,2.0,74.33117743245751,275.65,1104.2129760095775,7.0,299.3548856952602,28.213827343568898,0.0,5.0,84.11300187545382,155.81020409,722.8390719931008,6.0,320.48972961378075,27.20631233924456,0.0,4.0,85.53508548169468,150.583333345,437.2387473855424,4.0,180.4743046088684,27.34345295170013,2.0,0.0,76.60395676459251,185.6517857175,193.12954727498868,148.66235486491502,31154.074255662603,0.0,19665.785563653983,0.0,11955.617117796877,153.20791352918502
24,1.03,Narmada,2022,1,2.705299215751711,0.0,2.608681386617721,31.980646652741697,2.0,1.0,54.1825543044404,296.5142857,703.7642674119808,7.0,257.9696037877524,27.595627213612627,3.0,0.0,80.91459358664169,166.73061224285715,247.05178909561158,6.0,80.19279818121142,26.68148635586762,1.0,0.0,84.56538495182542,187.50952379999998,204.53994427665612,5.0,83.2845687134991,26.1637112580028,4.0,0.0,69.1749370717094,209.341071425,86.51721830889468,108.3651086088808,19420.81636976221,242.74378075992507,6591.708939947245,84.56538495182542,5351.524042782413,276.6997482868376
25,2.39,Bharuch,2020,1,82.5668186889221,1.0,82.31993670031756,31.290441213961042,2.0,2.0,67.46038608895691,238.8357143,0.0,0.0,0.0,27.229109000000008,0.0,0.0,57.161972,250.561214296,0.0,0.0,0.0,27.229109000000008,0.0,0.0,57.161972,250.561214296,0.0,0.0,0.0,27.229109000000008,0.0,0.0,57.161972,250.561214296,2583.5521864094967,134.92077217791382,0.0,0.0,0.0,0.0,0.0,0.0
26,1.63,Bharuch,2016,1,0.0,0.0,0.0,32.779652357950205,2.0,2.0,60.45810018626283,292.2357143,402.95791247283256,6.0,114.15410131901584,28.853682854656814,2.0,5.0,78.60272097855129,217.60204081428574,402.3201492598604,5.0,140.497214089994,26.97246788269618,0.0,0.0,84.67023636411375,235.79285713333334,250.09323826730707,3.0,113.54023125235103,26.460769250665592,0.0,0.0,75.04655307411653,227.26607144999997,0.0,120.91620037252567,11626.81981026567,157.20544195710258,10851.567304473117,0.0,6617.659468942942,0.0
27,3.25,Tapi,2017,1,169.75654333142205,2.0,163.0209473050459,30.8221889325251,2.0,1.0,75.00426964805897,206.5357143,0.0,0.0,0.0,27.149687000000004,0.0,0.0,58.57145299999999,255.2741758346154,0.0,0.0,0.0,27.149687000000004,0.0,0.0,58.57145299999999,255.2741758346154,0.0,0.0,0.0,27.149687000000004,0.0,0.0,58.57145299999999,255.2741758346154,5232.268251093475,150.00853929611793,0.0,0.0,0.0,0.0,0.0,0.0
28,2.94,Tapi,2021,1,46.63280101444624,1.0,43.730759749598725,29.777286183128414,1.0,1.0,75.59855574780765,212.6285714,435.706471280899,7.0,190.1337380417336,28.386958208068673,0.0,3.0,82.04798140786525,160.21836734285716,510.95940339004824,6.0,192.13514581059397,27.148976477156477,0.0,0.0,85.54336575892309,141.97857143333334,565.2976243146069,5.0,258.8820949020867,27.27697091429044,1.0,0.0,76.28242426197366,178.055357125,1388.5982613280466,75.59855574780765,12368.381391235953,0.0,13872.024823418327,0.0,15419.606856347016,76.28242426197366
29,2.39,Bharuch,2020,1,114.99734972787533,1.0,114.65349762316926,31.31109725822679,2.0,2.0,68.18126207122612,238.8357143,0.0,0.0,0.0,27.247084000000005,0.0,0.0,57.77279999999999,250.561214296,0.0,0.0,0.0,27.247084000000005,0.0,0.0,57.77279999999999,250.561214296,0.0,0.0,0.0,27.247084000000005,0.0,0.0,57.77279999999999,250.561214296,3600.6932017678246,136.36252414245223,0.0,0.0,0.0,0.0,0.0,0.0
30,1.0,Narmada,2019,1,0.0,0.0,0.0,32.89773658761162,2.0,2.0,59.304572985345644,298.4642857,355.8595171225296,7.0,121.21642921739132,29.049214538561706,6.0,3.0,80.06721248352262,172.01020406571428,1077.7432519367592,6.0,556.018620853755,26.65932986419322,0.0,0.0,89.87818677074402,114.82142857333332,368.96913094071147,7.0,101.83700009486168,27.06081148371068,1.0,0.0,80.43006575252326,165.85714286125,0.0,118.60914597069129,10337.439458481336,480.4032749011358,28731.912862290363,0.0,9984.604095695155,80.43006575252326
31,0.79,Narmada,2017,1,27.586960891047646,2.0,14.345219663344777,30.896585385000726,2.0,1.0,69.11927697985897,226.8714286,739.7318167657647,7.0,197.62295620132312,27.702068663798133,2.0,0.0,84.17031429996129,155.71224489857144,351.00645875554807,6.0,168.23030332467962,27.172020032431874,0.0,0.0,83.8196811799512,164.5595238,79.55076358763921,3.0,26.784431119671712,28.190289173602572,7.0,0.0,68.67826485760568,213.5464285625,852.3428926829293,138.23855395971793,20492.101580841354,168.34062859992258,9537.554528818724,0.0,2242.5590295164434,480.7478540032398
32,2.76,Navsari,2021,1,99.8018668759812,2.0,92.68855886970177,30.395472683379445,1.0,1.0,79.51047788832162,233.93571425,0.0,0.0,0.0,27.452656000000005,0.0,0.0,64.83642999999998,247.99189561538464,0.0,0.0,0.0,27.452656000000005,0.0,0.0,64.83642999999998,247.99189561538464,0.0,0.0,0.0,27.452656000000005,0.0,0.0,64.83642999999998,247.99189561538464,3033.5249183791584,79.51047788832162,0.0,0.0,0.0,0.0,0.0,0.0
33,2.92,Valsad,2022,1,13.96271799774025,1.0,10.81086291924358,30.5457278485142,1.0,2.0,67.0939073651961,272.33571429999995,0.0,0.0,0.0,27.321172999999995,0.0,0.0,54.267950000000006,250.4087912076923,0.0,0.0,0.0,27.321172999999995,0.0,0.0,54.267950000000006,250.4087912076923,0.0,0.0,0.0,27.321172999999995,0.0,0.0,54.267950000000006,250.4087912076923,426.50138398452475,67.0939073651961,0.0,0.0,0.0,0.0,0.0,0.0
34,2.92,Valsad,2022,1,0.0,0.0,0.0,30.44332243779905,0.0,2.0,66.24454578443903,272.33571429999995,0.0,0.0,0.0,27.22957799999999,0.0,0.0,53.580956,250.4087912076923,0.0,0.0,0.0,27.22957799999999,0.0,0.0,53.580956,250.4087912076923,0.0,0.0,0.0,27.22957799999999,0.0,0.0,53.580956,250.4087912076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2.35,Tapi,2021,1,57.14185712856427,1.0,53.58581880940469,30.0979648468728,2.0,1.0,74.80851156431429,212.6285714,0.0,0.0,0.0,27.217344000000004,0.0,0.0,60.911446,242.9629807576923,0.0,0.0,0.0,27.217344000000004,0.0,0.0,60.911446,242.9629807576923,0.0,0.0,0.0,27.217344000000004,0.0,0.0,60.911446,242.9629807576923,1719.8536071405551,149.61702312862857,0.0,0.0,0.0,0.0,0.0,0.0
36,2.17,Bharuch,2017,1,101.023302667532,1.0,97.61751401519236,32.038568928150056,2.0,2.0,69.58628241098151,238.98571425,0.0,0.0,0.0,27.354939,0.0,0.0,55.60738400000001,257.29340658461535,0.0,0.0,0.0,27.354939,0.0,0.0,55.60738400000001,257.29340658461535,0.0,0.0,0.0,27.354939,0.0,0.0,55.60738400000001,257.29340658461535,3236.642045863089,139.17256482196302,0.0,0.0,0.0,0.0,0.0,0.0
37,2.39,Bharuch,2020,1,150.3457764448882,1.0,149.89622946153096,31.361632457260484,2.0,2.0,69.27745906736695,238.8357143,0.0,0.0,0.0,27.29106,0.0,0.0,58.701652999999986,250.561214296,0.0,0.0,0.0,27.29106,0.0,0.0,58.701652999999986,250.561214296,0.0,0.0,0.0,27.29106,0.0,0.0,58.701652999999986,250.561214296,4715.0889823660345,138.5549181347339,0.0,0.0,0.0,0.0,0.0,0.0
38,2.79,Surat,2022,1,0.0,0.0,0.0,30.610919749626415,2.0,2.0,68.17182427189462,291.5714286,0.0,0.0,0.0,27.367329999999995,0.0,0.0,52.11586,251.66614011538462,0.0,0.0,0.0,27.367329999999995,0.0,0.0,52.11586,251.66614011538462,0.0,0.0,0.0,27.367329999999995,0.0,0.0,52.11586,251.66614011538462,0.0,136.34364854378924,0.0,0.0,0.0,0.0,0.0,0.0
39,0.79,Narmada,2017,1,28.285499120676654,2.0,14.70845954275186,31.104840721565402,2.0,1.0,69.99700666937991,226.8714286,758.4628018758897,7.0,202.62703006448368,27.888791680637325,3.0,0.0,85.23917362641103,155.71224489857144,359.89440517544585,6.0,172.49011645590818,27.355170309605978,0.0,0.0,84.88408789762074,164.5595238,81.5650938279876,3.0,27.46264823716606,28.38030299184652,7.0,0.0,69.5503942363298,213.5464285625,879.8159448786256,139.99401333875983,21152.61107902919,255.7175208792331,9844.97274704866,0.0,2314.8420763966783,486.85275965430856
40,0.85,Narmada,2018,1,0.8866932217891433,0.0,0.798023899610229,32.396063300267784,2.0,2.0,61.27053423847286,281.91428575,659.4337490445859,7.0,268.047360946858,27.841304783160574,3.0,1.0,81.78765271301086,145.80816326285714,236.83575953988017,6.0,94.43282812054376,26.49464809017671,0.0,0.0,83.56079938199143,145.35238096666666,35.55639819374465,2.0,29.526884285578472,27.848935047035013,6.0,0.0,64.97222203000376,225.68214285,28.72536974099947,122.54106847694572,18359.49599145254,245.36295813903257,6274.8801041788365,0.0,990.2078238041078,389.8333321800226
41,2.76,Navsari,2021,1,146.7632324542125,2.0,136.30278608058612,30.579851829609147,1.0,1.0,85.33560329548823,233.93571425,0.0,0.0,0.0,27.619184000000004,0.0,0.0,69.5865,247.99189561538464,0.0,0.0,0.0,27.619184000000004,0.0,0.0,69.5865,247.99189561538464,0.0,0.0,0.0,27.619184000000004,0.0,0.0,69.5865,247.99189561538464,4487.997902484302,85.33560329548823,0.0,0.0,0.0,0.0,0.0,0.0
42,3.21,Bharuch,2015,1,0.0,0.0,0.0,31.778979377367698,2.0,2.0,65.57494848289066,246.10714285,0.0,0.0,0.0,27.402315000000005,0.0,0.0,50.96440499999999,254.10693681153847,0.0,0.0,0.0,27.402315000000005,0.0,0.0,50.96440499999999,254.10693681153847,0.0,0.0,0.0,27.402315000000005,0.0,0.0,50.96440499999999,254.10693681153847,0.0,131.14989696578132,0.0,0.0,0.0,0.0,0.0,0.0
43,2.17,Bharuch,2017,1,104.79835637320949,1.0,101.26529970712176,31.933808254534682,2.0,2.0,70.58861228394258,238.98571425,0.0,0.0,0.0,27.265492999999996,0.0,0.0,56.40836,257.29340658461535,0.0,0.0,0.0,27.265492999999996,0.0,0.0,56.40836,257.29340658461535,0.0,0.0,0.0,27.265492999999996,0.0,0.0,56.40836,257.29340658461535,3346.6106178124646,141.17722456788516,0.0,0.0,0.0,0.0,0.0,0.0
44,2.39,Bharuch,2020,1,140.09284739135657,1.0,139.67395756003634,31.23969112311774,2.0,2.0,70.18886276010376,238.8357143,0.0,0.0,0.0,27.184946,0.0,0.0,59.473922999999985,250.561214296,0.0,0.0,0.0,27.184946,0.0,0.0,59.473922999999985,250.561214296,0.0,0.0,0.0,27.184946,0.0,0.0,59.473922999999985,250.561214296,4376.45728106405,140.37772552020752,0.0,0.0,0.0,0.0,0.0,0.0
45,2.94,Tapi,2021,1,44.39743417014448,1.0,41.634503717496,30.192862959512585,2.0,1.0,75.47795515297594,212.6285714,414.8206617528089,7.0,181.01958138041732,28.783131335159933,1.0,4.0,81.91709219623087,160.21836734285716,486.4663065939006,6.0,182.925050658106,27.52787212456772,0.0,2.0,85.40690044298704,141.97857143333334,538.1997974831461,5.0,246.47245106902088,27.657652873431104,4.0,2.0,76.16073270781372,178.055357125,1340.4856456531536,150.95591030595187,11939.837587769054,81.91709219623087,13391.382280827649,0.0,14885.343175339774,304.6429308312549
46,2.94,Tapi,2021,1,45.850043685393274,1.0,42.99671478651687,30.197166923755525,2.0,1.0,74.59261983891665,212.6285714,428.39289743820234,7.0,186.94223820224724,28.78723434348453,1.0,4.0,80.95622760471689,160.21836734285716,502.3826675056181,6.0,188.9100512359551,27.531796196871408,0.0,2.0,84.40510137631559,141.97857143333334,555.8087913707867,5.0,254.5366159101124,27.661595445858588,4.0,2.0,75.26738860390684,178.055357125,1384.5414226293037,149.1852396778333,12332.246729637865,80.95622760471689,13831.49721460529,0.0,15374.55793215032,301.06955441562735
47,2.92,Surat,2015,1,0.0,0.0,0.0,31.181682077538056,2.0,2.0,68.83032963168787,239.62142855,0.0,0.0,0.0,27.267089999999996,0.0,0.0,52.79496400000001,255.13605768846156,0.0,0.0,0.0,27.267089999999996,0.0,0.0,52.79496400000001,255.13605768846156,0.0,0.0,0.0,27.267089999999996,0.0,0.0,52.79496400000001,255.13605768846156,0.0,137.66065926337575,0.0,0.0,0.0,0.0,0.0,0.0
48,1.0,Narmada,2019,1,0.0,0.0,0.0,32.76404324669838,2.0,2.0,59.61197777012085,298.4642857,360.9477005322794,7.0,122.94961715942031,28.93116123321582,6.0,2.0,80.48224024583581,172.01020406571428,1093.1531400263507,6.0,563.9687376442688,26.550988827825563,0.0,0.0,90.34406964063794,114.82142857333332,374.2447594413703,7.0,103.29309529380768,26.950838863392384,0.0,0.0,80.84697436188496,165.85714286125,0.0,119.2239555402417,10442.636120857875,482.89344147501487,29024.29680794207,0.0,10086.210207173417,0.0
49,0.54,Narmada,2016,1,0.0,0.0,0.0,33.21003152241897,2.0,2.0,52.68246621912091,302.8571429,253.32189847554034,6.0,77.14142460750853,28.637545878581086,4.0,2.0,73.36458988155428,214.4408163285714,394.4298282935153,6.0,170.45619854379973,26.47239423537897,0.0,0.0,80.90943266628393,234.5,150.9209732309442,2.0,116.84790582480088,25.919980424102576,2.0,0.0,70.95391904914686,227.3696428625,0.0,105.36493243824182,7254.517489642547,293.4583595262171,10441.501912778771,0.0,3911.8686717325827,141.90783809829372
